"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20121107111","100001","202","昆明能讯"
"10000002","EN20121107112","100001","202","昆明能讯"
"10000003","EN20121107113","100003","202","昆明能讯"
"10000002","EN20121107114","100001","203","远信科技"
"10000002","EN20121107115","100001","203","远信科技"
"10000002","EN20121107116","100001","12","云电同方"
"10000002","EN20121107117","100001","12","云电同方"
"10000002","EN20121107118","100001","202","昆明能讯"
"10000002","EN20121107119","100001","12","云电同方"
"10000002","EN20121107120","100001","12","云电同方"
"10000002","EN20121107121","100001","12","云电同方"
"10000002","EN20121107122","100001","203","远信科技"
"10000002","EN20121107123","100001","202","昆明能讯"
"10000002","EN20121107124","100001","12","云电同方"
"10000002","EN20121107125","100001","12","云电同方"
"10000002","EN20121107126","100001","203","远信科技"
"10000002","EN20121107127","100001","12","云电同方"
"10000002","EN20121107128","100001","202","昆明能讯"
"10000002","EN20121107129","100001","202","昆明能讯"
"10000002","EN20121107131","100001","12","云电同方"
"10000003","EN20121107132","100003","202","昆明能讯"
"10000002","EN20121107133","100001","202","昆明能讯"
"10000002","EN20121107134","100001","202","昆明能讯"
"10000002","EN20121107135","100001","202","昆明能讯"
"10000002","EN20121107136","100001","202","昆明能讯"
"10000002","EN20121107137","100001","202","昆明能讯"
"10000002","EN20121107138","100001","202","昆明能讯"
"10000002","EN20121107139","100001","203","远信科技"
"10000002","EN20121107140","100001","202","昆明能讯"
"10000002","EN20121107141","100001","202","昆明能讯"
"10000003","EN20121107142","100003","19","楚雄供电局"
"10000002","EN20121107143","100001","12","云电同方"
"10000003","EN20121107145","100001","202","昆明能讯"
"10000002","EN20121107146","100001","203","远信科技"
"10000002","EN20121107147","100001","12","云电同方"
"10000002","EN20121107148","100001","202","昆明能讯"
"10000002","EN20121107149","100001","203","远信科技"
"10000003","EN20121107150","100003","12","云电同方"
"10000002","EN20121107151","100001","202","昆明能讯"
"10000002","EN20121107152","100001","12","云电同方"
"10000003","EN20121107153","100003","12","云电同方"
"10000002","EN20121107154","100001","12","云电同方"
"10000002","EN20121107155","100001","12","云电同方"
"10000002","EN20121107156","100001","202","昆明能讯"
"10000002","EN20121107157","100001","203","远信科技"
"10000002","EN20121107158","100001","202","昆明能讯"
"10000002","EN20121107159","100001","12","云电同方"
"10000002","EN20121107160","100001","202","昆明能讯"
"10000002","EN20121107161","100001","202","昆明能讯"
"10000002","EN20121107162","100001","202","昆明能讯"
"10000002","EN20121107163","100001","203","远信科技"
"10000002","EN20121107164","100001","12","云电同方"
"10000004","EN20121107165","100001","202","昆明能讯"
"10000002","EN20121107166","100001","203","远信科技"
"10000003","EN20121107167","100001","203","远信科技"
"10000003","EN20121107168","100003","12","云电同方"
"10000002","EN20121107169","100001","12","云电同方"
